time,mRNA
0.000, 0
0.010, 0
0.020, 1
0.030, 3
0.040, 4
0.050, 4
0.060, 4
0.070, 5
0.080, 5
0.090, 8
0.100, 8
0.110, 10
0.120, 10
0.130, 10
0.140, 11
0.150, 10
0.160, 10
0.170, 10
0.180, 12
0.190, 12
0.200, 14
0.210, 14
0.220, 16
0.230, 19
0.240, 19
0.250, 19
0.260, 23
0.270, 23
0.280, 24
0.290, 25
0.300, 25
0.310, 24
0.320, 26
0.330, 27
0.340, 26
0.350, 25
0.360, 26
0.370, 26
0.380, 27
0.390, 27
0.400, 26
0.410, 26
0.420, 28
0.430, 31
0.440, 35
0.450, 37
0.460, 38
0.470, 37
0.480, 37
0.490, 37
0.500, 34
0.510, 40
0.520, 42
0.530, 42
0.540, 42
0.550, 43
0.560, 45
0.570, 46
0.580, 48
0.590, 48
0.600, 48
0.610, 47
0.620, 46
0.630, 45
0.640, 44
0.650, 44
0.660, 45
0.670, 45
0.680, 45
0.690, 45
0.700, 45
0.710, 44
0.720, 44
0.730, 45
0.740, 45
0.750, 45
0.760, 44
0.770, 45
0.780, 43
0.790, 44
0.800, 44
0.810, 46
0.820, 46
0.830, 47
0.840, 48
0.850, 49
0.860, 48
0.870, 49
0.880, 50
0.890, 49
0.900, 49
0.910, 54
0.920, 55
0.930, 53
0.940, 54
0.950, 54
0.960, 54
0.970, 56
0.980, 55
0.990, 56
1.000, 57
1.010, 56
1.020, 58
1.030, 57
1.040, 57
1.050, 55
1.060, 56
1.070, 56
1.080, 56
1.090, 56
1.100, 58
1.110, 59
1.120, 59
1.130, 59
1.140, 60
1.150, 61
1.160, 62
1.170, 62
1.180, 63
1.190, 61
1.200, 60
1.210, 61
1.220, 61
1.230, 61
1.240, 64
1.250, 62
1.260, 63
1.270, 63
1.280, 63
1.290, 66
1.300, 68
1.310, 66
1.320, 66
1.330, 69
1.340, 68
1.350, 68
1.360, 70
1.370, 68
1.380, 64
1.390, 64
1.400, 66
1.410, 65
1.420, 65
1.430, 62
1.440, 62
1.450, 62
1.460, 61
1.470, 60
1.480, 60
1.490, 60
1.500, 59
1.510, 58
1.520, 59
1.530, 58
1.540, 57
1.550, 57
1.560, 57
1.570, 57
1.580, 56
1.590, 56
1.600, 59
1.610, 62
1.620, 62
1.630, 63
1.640, 64
1.650, 66
1.660, 71
1.670, 71
1.680, 73
1.690, 75
1.700, 74
1.710, 76
1.720, 74
1.730, 74
1.740, 73
1.750, 72
1.760, 72
1.770, 73
1.780, 72
1.790, 73
1.800, 73
